Date,Name,Tags,Project,Description
2025/01/11 21:15 (JST) → 2025/01/12 1:00 (JST),journaling / LRTまとめ,"Journaling, Today's Recap",,
2025/01/11 20:15 (JST) → 21:15,dinner and shower,Life,,
2025/01/11 19:00 (JST) → 20:15,transfer / discovering,Discovering,,
2025/01/11 17:30 (JST) → 19:00,プラズマ理工学 / 復習 > 2.流体的取り扱い > ２流体近似まで,"High Productive, Input, Output, Review","プラズマ理工学／Plasma Science and Technology (https://www.notion.so/Plasma-Science-and-Technology-1127ef7cacf1809c9860c771f83792c6?pvs=21) ",
2025/01/11 14:30 (JST) → 17:30,制御工学第二 / 最適制御法 > 教科書まとめ,"High Productive, Input, Output, Review","制御工学第二／Control Engineering 2 (https://www.notion.so/Control-Engineering-2-1137ef7cacf1807abbb6e4897f596f32?pvs=21) ","応用制御工学 (電気・電子・情報・通信基礎コース) (https://www.notion.so/14b7ef7cacf1802b8f3fe2c967e4cfc1?pvs=21) "
2025/01/11 14:00 (JST) → 14:30,散歩,Life,,
2025/01/11 11:30 (JST) → 14:00,制御工学第二 / 極配置法まで > 教科書まとめ,"High Productive, Input, Output, Review","制御工学第二／Control Engineering 2 (https://www.notion.so/Control-Engineering-2-1137ef7cacf1807abbb6e4897f596f32?pvs=21) ","応用制御工学 (電気・電子・情報・通信基礎コース) (https://www.notion.so/14b7ef7cacf1802b8f3fe2c967e4cfc1?pvs=21) "
2025/01/11 10:15 (JST) → 11:30,transfer / listening,"English, Tranfer","English(2025.1) (https://www.notion.so/English-2025-1-1727ef7cacf180c282fbf699b9b4df28?pvs=21) ",
2025/01/11 9:30 (JST) → 10:15,morning / push-up50,"Exercise, Life, Push-up","Push-up50 (https://www.notion.so/Push-up50-1787ef7cacf180718bb6e59f87537c9c?pvs=21) ","腕立て50回0111 (https://www.notion.so/50-0111-1777ef7cacf1801c981ed35e75549ab4?pvs=21) "
2025/01/11 1:30 (JST) → 9:30,sleep800,Sleep,,
2025/01/11 0:00 (JST) → 1:30,ナウシカ考察,Life,,
2025/01/10 23:45 (JST) → 2025/01/11 0:00 (JST),journaling / planning,"Journaling, Today's Recap",,
2025/01/10 22:15 (JST) → 23:45,"dinner and shower, ハウル / push-up20","Exercise, Life, Push-up","Push-up50 (https://www.notion.so/Push-up50-1787ef7cacf180718bb6e59f87537c9c?pvs=21) ","腕立て50回0110 (https://www.notion.so/50-0110-1767ef7cacf18072adccf6b379a84b25?pvs=21) "
2025/01/10 21:00 (JST) → 22:15,transfer / Anki10枚以上,"English, Input, Productive, Tranfer","English(2025.1) (https://www.notion.so/English-2025-1-1727ef7cacf180c282fbf699b9b4df28?pvs=21) ","帰宅中にAnki作成0111 (https://www.notion.so/Anki-0111-1767ef7cacf180f6a4aadf1c63cddad6?pvs=21) "
2025/01/10 18:45 (JST) → 21:00,プラズマ理工学 / 波動範囲の復習,"High Productive, Output, Review","プラズマ理工学／Plasma Science and Technology (https://www.notion.so/Plasma-Science-and-Technology-1127ef7cacf1809c9860c771f83792c6?pvs=21) ",
2025/01/10 17:00 (JST) → 18:45,制御工学第二 / 教科書読む,"Input, Productive, Review","制御工学第二／Control Engineering 2 (https://www.notion.so/Control-Engineering-2-1137ef7cacf1807abbb6e4897f596f32?pvs=21) ","応用制御工学 (電気・電子・情報・通信基礎コース) (https://www.notion.so/14b7ef7cacf1802b8f3fe2c967e4cfc1?pvs=21) "
2025/01/10 16:00 (JST) → 17:00,制御工学第二 / ディジタル制御のスライド復習,"Input, Productive, Review","制御工学第二／Control Engineering 2 (https://www.notion.so/Control-Engineering-2-1137ef7cacf1807abbb6e4897f596f32?pvs=21) ",
2025/01/10 14:45 (JST) → 16:00,情報理論 / 教科書読む,"Input, Productive, Review","情報理論／Information Theory (https://www.notion.so/Information-Theory-1157ef7cacf1809fb1b5c7063a25609f?pvs=21) ","情報理論 (電子通信大学講座 第 39巻) (https://www.notion.so/39-1777ef7cacf18078b569ea738081e832?pvs=21) 
情報理論の基礎 (https://www.notion.so/1777ef7cacf180b18aa2cc2e9f216501?pvs=21) "
2025/01/10 13:00 (JST) → 14:45,情報理論 / ノート復習完了,"Input, Productive, Review","情報理論／Information Theory (https://www.notion.so/Information-Theory-1157ef7cacf1809fb1b5c7063a25609f?pvs=21) ",
2025/01/10 12:15 (JST) → 13:00,discovering,Discovering,,
2025/01/10 10:25 (JST) → 12:10,マルチエージェントシステム,"Input, Lecture, Non-Productive","マルチエージェントシステム／Multi-Agent System (https://www.notion.so/Multi-Agent-System-1127ef7cacf180b5a302e0ba7f7cef1a?pvs=21) ",
2025/01/10 8:30 (JST) → 10:15,幾何数理工学 / テンソル,"Input, Lecture, Productive","幾何数理工学／Geometrical Method in Mathematical Engineering (https://www.notion.so/Geometrical-Method-in-Mathematical-Engineering-1137ef7cacf18058967df832af77c439?pvs=21) ",
2025/01/10 7:15 (JST) → 8:30,transfer / listening,"English, Tranfer","English(2025.1) (https://www.notion.so/English-2025-1-1727ef7cacf180c282fbf699b9b4df28?pvs=21) ",
2025/01/10 7:00 (JST) → 7:15,morning,Life,,
2025/01/10 0:15 (JST) → 7:00,sleep645,Sleep,,
2025/01/10 0:00 (JST) → 0:15,"English listening ",English,,
2025/01/09 23:45 (JST) → 2025/01/10 0:00 (JST),journaling,Journaling,,
2025/01/09 23:15 (JST) → 23:45,shower,Life,,
2025/01/09 22:00 (JST) → 23:15,"Transfer / listening and Anki ","English, Productive, Tranfer","English(2025.1) (https://www.notion.so/English-2025-1-1727ef7cacf180c282fbf699b9b4df28?pvs=21) ",
2025/01/09 20:30 (JST) → 22:00,情報理論 / 復習,"Input, Productive, Review","情報理論／Information Theory (https://www.notion.so/Information-Theory-1157ef7cacf1809fb1b5c7063a25609f?pvs=21) ",
2025/01/09 18:00 (JST) → 20:30,くら寿司with森重中村,"Life, With friends",,
2025/01/09 17:00 (JST) → 18:00,雑談,"Life, With friends",,
2025/01/09 14:55 (JST) → 17:00,応用プロジェクトＡ,"Lecture, Non-Productive","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ",
2025/01/09 13:00 (JST) → 14:45,応用プロジェクトＡ,"Lecture, Non-Productive","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ",
2025/01/09 12:15 (JST) → 13:00,応用プロジェクト / 準備,"Output, Productive, coding","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ",
2025/01/09 10:25 (JST) → 12:10,量子コンピューティング,"Input, Lecture, Productive","量子コンピューティング／Quantum computing (https://www.notion.so/Quantum-computing-1127ef7cacf180948dfdc75d4b2f8b5a?pvs=21) ",
2025/01/09 9:15 (JST) → 10:15,transfer / モデリング,"Review, Tranfer","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ",
2025/01/09 9:00 (JST) → 9:00,morning,Life,,
2025/01/09 0:15 (JST) → 9:00,sleep845,Life,,
2025/01/08 23:15 (JST) → 2025/01/09 0:00 (JST),dinner and shower,Life,,
2025/01/08 22:00 (JST) → 23:15,transfer / 応用プロジェクト-DH変換,"Input, Productive","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ",
2025/01/08 21:00 (JST) → 22:00,応用プロジェクト / シミュレーション,"Output, Productive, coding","応用プロジェクトＡ／Advanced Project (https://www.notion.so/Advanced-Project-1127ef7cacf180dda1ccc7146a4320da?pvs=21) ",
2025/01/08 19:30 (JST) → 21:00,電磁エネルギー基礎 / レポート課題,"Input, Output, Productive","電磁エネルギー基礎／Electromagnetic Energy Fundamentals (https://www.notion.so/Electromagnetic-Energy-Fundamentals-1127ef7cacf180bc9e15ff445a446800?pvs=21) ",
2025/01/08 19:00 (JST) → 19:30,journaling,"Journaling, Output, Productive",,
2025/01/08 16:50 (JST) → 18:35,数理手法II,"Input, Lecture, Productive","数理手法II／Mathematical Method II (https://www.notion.so/II-Mathematical-Method-II-1127ef7cacf18046b615ed8491a4edc2?pvs=21) ",
2025/01/08 14:55 (JST) → 16:40,電磁エネルギー基礎,"Input, Lecture, Productive","電磁エネルギー基礎／Electromagnetic Energy Fundamentals (https://www.notion.so/Electromagnetic-Energy-Fundamentals-1127ef7cacf180bc9e15ff445a446800?pvs=21) ",
2025/01/08 13:00 (JST) → 14:45,電磁エネルギー基礎,"Input, Lecture, Productive","電磁エネルギー基礎／Electromagnetic Energy Fundamentals (https://www.notion.so/Electromagnetic-Energy-Fundamentals-1127ef7cacf180bc9e15ff445a446800?pvs=21) ",
